#type,x,y,sqm
hospital,-0.32167468086504947,51.575342746318334,107542
house,-0.2142945103598545,51.526128772522966,0
house,-0.214001643645705,51.525954700732854,0
house,-0.21343464410397675,51.52590497871641,0
house,-0.21346592666478592,51.52583943540206,0
house,-0.2159800222202903,51.52649478396587,0
house,-0.2161467818293837,51.52646503138728,0
house,-0.21601205075904611,51.52642877549052,0
house,-0.21623331594447495,51.526437878388705,0
house,-0.2149586107870045,51.52437285617961,0
house,-0.21437743179235394,51.524180136814294,0
house,-0.21487712361151776,51.52440515881134,0
house,-0.21441810627898106,51.524195488734584,0
house,-0.21433775453261836,51.52417860521863,0
house,-0.21466232773550753,51.52437607837688,0
house,-0.21463793815731025,51.52443033735922,0
house,-0.21541446169317077,51.52437204179106,0
house,-0.2146064311382647,51.52429517002205,0
house,-0.21558204669811695,51.52438714924808,0
office,-0.24520968720621156,51.530238877492295,848
office,-0.2492162469999503,51.5510708721646,2875
office,-0.24812067572307253,51.53414767556481,1216
office,-0.3057276110165153,51.58704429720879,827
park,-0.23626468536322393,51.55762450978268,606055
park,-0.21082592994079438,51.535835644504914,192671
leisure,-0.23519173680590838,51.531486882217564,660
leisure,-0.27956525,51.55596295000001,12666
leisure,-0.27957479833482024,51.55601652631791,109233
park,-0.2363931311059435,51.56000017049964,2651
school,-0.24138691251082015,51.56288289534314,52618
school,-0.3316219694234691,51.563094343293876,34390
supermarket,-0.22552663075916055,51.54679028340672,5759
shopping,-0.25940855345351205,51.55364747439485,47489
supermarket,-0.2553257061503052,51.55402950242135,14271
shopping,-0.2661777214822274,51.60011281404031,2126
